Creekside Village,6:30,6:55,7:20,7:32,7:45,7:57,8:10,8:22,8:35,8:47,9:00,9:12,9:25,9:37,9:50,10:02,10:15,10:27,10:40,10:52,11:05,11:17,11:30,11:42,11:55,12:07,12:20,12:32,12:45,12:57,1:10,1:22,1:35,1:47,2:00,2:12,2:25,2:37,2:50,3:02,3:15,3:27,3:40,3:52,4:05,4:17,4:30,4:42,4:55,5:07,5:20,5:32,5:45,5:57,6:10,6:22,6:35,6:47,7:00,7:12,7:25,7:37,7:50,8:02,8:15,8:27,8:40,8:52,9:05,9:30,9:42,9:55,10:20,11:10,12:00,12:50
Moody Terrace (Ellicott),6:35,7:00,7:25,7:37,7:50,8:02,8:15,8:27,8:40,8:52,9:05,9:17,9:30,9:42,9:55,10:07,10:20,10:32,10:45,10:57,11:10,11:22,11:35,11:47,12:00,12:12,12:25,12:37,12:50,1:02,1:15,1:27,1:40,1:52,2:05,2:17,2:30,2:42,2:55,3:07,3:20,3:32,3:45,3:57,4:10,4:22,4:35,4:47,5:00,5:12,5:25,5:37,5:50,6:02,6:15,6:27,6:40,6:52,7:05,7:17,7:30,7:42,7:55,8:07,8:20,8:32,8:45,8:57,9:10,9:35,9:47,10:00,10:25,11:15,12:05,12:55
Southlake Village to Spine,6:40,7:05,7:30,7:42,7:55,8:07,8:20,8:32,8:45,8:57,9:10,9:22,9:35,9:47,10:00,10:12,10:25,10:37,10:50,11:02,11:15,11:27,11:40,11:52,12:05,12:17,12:30,12:42,12:55,1:07,1:20,1:32,1:45,1:57,2:10,2:22,2:35,2:47,3:00,3:12,3:25,3:37,3:50,4:02,4:15,4:27,4:40,4:52,5:05,5:17,5:30,5:42,5:55,6:07,6:20,6:32,6:45,6:57,7:10,7:22,7:35,7:47,8:00,8:12,8:25,8:37,8:50,9:02,9:15,9:40,9:52,10:05,10:30,11:20,12:10,1:00
Alumni and Stadium,6:42,7:07,7:32,7:44,7:57,8:09,8:22,8:34,8:47,8:59,9:12,9:24,9:37,9:49,10:02,10:14,10:27,10:39,10:52,11:04,11:17,11:29,11:42,11:54,12:07,12:19,12:32,12:44,12:57,1:09,1:22,1:34,1:47,1:59,2:12,2:24,2:37,2:49,3:02,3:14,3:27,3:39,3:52,4:04,4:17,4:29,4:42,4:54,5:07,5:19,5:32,5:44,5:57,6:09,6:22,6:34,6:47,6:59,7:12,7:24,7:37,7:49,8:02,8:14,8:27,8:39,8:52,9:04,9:17,9:42,9:54,10:07,10:32,11:22,12:12,1:02
Center for the Arts,6:44,7:09,7:34,7:46,7:59,8:11,8:24,8:36,8:49,9:01,9:14,9:26,9:39,9:51,10:04,10:16,10:29,10:41,10:54,11:06,11:19,11:31,11:44,11:56,12:09,12:21,12:34,12:46,12:59,1:11,1:24,1:36,1:49,2:01,2:14,2:26,2:39,2:51,3:04,3:16,3:29,3:41,3:54,4:06,4:19,4:31,4:44,4:56,5:09,5:21,5:34,5:46,5:59,6:11,6:24,6:36,6:49,7:01,7:14,7:26,7:39,7:51,8:04,8:16,8:29,8:41,8:54,9:06,9:19,9:44,9:56,10:09,10:34,11:24,12:14,1:04
Lockwood,6:45,7:10,7:35,7:47,8:00,8:12,8:25,8:37,8:50,9:02,9:15,9:27,9:40,9:52,10:05,10:17,10:30,10:42,10:55,11:07,11:20,11:32,11:45,11:57,12:10,12:22,12:35,12:47,1:00,1:12,1:25,1:37,1:50,2:02,2:15,2:27,2:40,2:52,3:05,3:17,3:30,3:42,3:55,4:07,4:20,4:32,4:45,4:57,5:10,5:22,5:35,5:47,6:00,6:12,6:25,6:37,6:50,7:02,7:15,7:27,7:40,7:52,8:05,8:17,8:30,8:42,8:55,9:07,9:20,9:45,9:57,10:10,10:35,11:25,12:15,1:05
Founder's Plaza,6:50,7:15,7:40,7:52,8:05,8:17,8:30,8:42,8:55,9:07,9:20,9:32,9:45,9:57,10:10,10:22,10:35,10:47,11:00,11:12,11:25,11:37,11:50,12:02,12:15,12:27,12:40,12:52,1:05,1:17,1:30,1:42,1:55,2:07,2:20,2:32,2:45,2:57,3:10,3:22,3:35,3:47,4:00,4:12,4:25,4:37,4:50,5:02,5:15,5:27,5:40,5:52,6:05,6:17,6:30,6:42,6:55,7:07,7:20,7:32,7:45,7:57,8:10,8:22,8:35,8:47,9:00,9:12,9:25,9:50,10:02,10:15,10:40,11:30,12:20,1:10
Cooke and Hochstetter,6:51,7:16,7:41,7:53,8:06,8:18,8:31,8:43,8:56,9:08,9:21,9:33,9:46,9:58,10:11,10:23,10:36,10:48,11:01,11:13,11:26,11:38,11:51,12:03,12:16,12:28,12:41,12:53,1:06,1:18,1:31,1:43,1:56,2:08,2:21,2:33,2:46,2:58,3:11,3:23,3:36,3:48,4:01,4:13,4:26,4:38,4:51,5:03,5:16,5:28,5:41,5:53,6:06,6:18,6:31,6:43,6:56,7:08,7:21,7:33,7:46,7:58,8:11,8:23,8:36,8:48,9:01,9:13,9:26,9:51,10:03,10:16,10:41,11:31,12:21,1:11
Natural Sciences Complex,6:52,7:17,7:42,7:54,8:07,8:19,8:32,8:44,8:57,9:09,9:22,9:34,9:47,9:59,10:12,10:24,10:37,10:49,11:02,11:14,11:27,11:39,11:52,12:04,12:17,12:29,12:42,12:54,1:07,1:19,1:32,1:44,1:57,2:09,2:22,2:34,2:47,2:59,3:12,3:24,3:37,3:49,4:02,4:14,4:27,4:39,4:52,5:04,5:17,5:29,5:42,5:54,6:07,6:19,6:32,6:44,6:57,7:09,7:22,7:34,7:47,7:59,8:12,8:24,8:37,8:49,9:02,9:14,9:27,9:52,10:04,10:17,10:42,11:32,12:22,1:12
Flickinger Court,7:00,7:25,7:50,8:02,8:15,8:27,8:40,8:52,9:05,9:17,9:30,9:42,9:55,10:07,10:20,10:32,10:45,10:57,11:10,11:22,11:35,11:47,12:00,12:12,12:25,12:37,12:50,1:02,1:15,1:27,1:40,1:52,2:05,2:17,2:30,2:42,2:55,3:07,3:20,3:32,3:45,3:57,4:10,4:22,4:35,4:47,5:00,5:12,5:25,5:37,5:50,6:02,6:15,6:27,6:40,6:52,7:05,7:17,7:30,7:42,7:55,8:07,8:20,8:32,8:45,8:57,9:10,9:22,9:35,10:00,,10:25,10:50,11:40,12:30,
Hadley Village,7:05,7:30,7:55,8:07,8:20,8:32,8:45,8:57,9:10,9:22,9:35,9:47,10:00,10:12,10:25,10:37,10:50,11:02,11:15,11:27,11:40,11:52,12:05,12:17,12:30,12:42,12:55,1:07,1:20,1:32,1:45,1:57,2:10,2:22,2:35,2:47,3:00,3:12,3:25,3:37,3:50,4:02,4:15,4:27,4:40,4:52,5:05,5:17,5:30,5:42,5:55,6:07,6:20,6:32,6:45,6:57,7:10,7:22,7:35,7:47,8:00,8:12,8:25,8:37,8:50,9:02,9:15,9:27,9:40,10:05,,10:30,10:55,11:45,12:35,
Computing Center,7:07,7:32,7:57,8:09,8:22,8:34,8:47,8:59,9:12,9:24,9:37,9:49,10:02,10:14,10:27,10:39,10:52,11:04,11:17,11:29,11:42,11:54,12:07,12:19,12:32,12:44,12:57,1:09,1:22,1:34,1:47,1:59,2:12,2:24,2:37,2:49,3:02,3:14,3:27,3:39,3:52,4:04,4:17,4:29,4:42,4:54,5:07,5:19,5:32,5:44,5:57,6:09,6:22,6:34,6:47,6:59,7:12,7:24,7:37,7:49,8:02,8:14,8:27,8:39,8:52,9:04,9:17,9:29,9:42,10:07,,10:32,10:57,11:47,12:37,
Lower Capen,7:08,7:33,7:58,8:10,8:23,8:35,8:48,9:00,9:13,9:25,9:38,9:50,10:03,10:15,10:28,10:40,10:53,11:05,11:18,11:30,11:43,11:55,12:08,12:20,12:33,12:45,12:58,1:10,1:23,1:35,1:48,2:00,2:13,2:25,2:38,2:50,3:03,3:15,3:28,3:40,3:53,4:05,4:18,4:30,4:43,4:55,5:08,5:20,5:33,5:45,5:58,6:10,6:23,6:35,6:48,7:00,7:13,7:25,7:38,7:50,8:03,8:15,8:28,8:40,8:53,9:05,9:18,9:30,9:43,10:08,,10:33,10:58,11:48,12:38,
Student Union,7:10,7:35,8:00,8:12,8:25,8:37,8:50,9:02,9:15,9:27,9:40,9:52,10:05,10:17,10:30,10:42,10:55,11:07,11:20,11:32,11:45,11:57,12:10,12:22,12:35,12:47,1:00,1:12,1:25,1:37,1:50,2:02,2:15,2:27,2:40,2:52,3:05,3:17,3:30,3:42,3:55,4:07,4:20,4:32,4:45,4:57,5:10,5:22,5:35,5:47,6:00,6:12,6:25,6:37,6:50,7:02,7:15,7:27,7:40,7:52,8:05,8:17,8:30,8:42,8:55,9:07,9:20,9:32,9:45,10:10,,10:35,11:00,11:50,12:40,
Lockwood,7:11,7:36,8:01,8:13,8:26,8:38,8:51,9:03,9:16,9:28,9:41,9:53,10:06,10:18,10:31,10:43,10:56,11:08,11:21,11:33,11:46,11:58,12:11,12:23,12:36,12:48,1:01,1:13,1:26,1:38,1:51,2:03,2:16,2:28,2:41,2:53,3:06,3:18,3:31,3:43,3:56,4:08,4:21,4:33,4:46,4:58,5:11,5:23,5:36,5:48,6:01,6:13,6:26,6:38,6:51,7:03,7:16,7:28,7:41,7:53,8:06,8:18,8:31,8:43,8:56,9:08,9:21,9:33,9:46,10:11,,10:36,11:01,11:51,12:41,
Alumni and Stadium,7:13,7:38,8:03,8:15,8:28,8:40,8:53,9:05,9:18,9:30,9:43,9:55,10:08,10:20,10:33,10:45,10:58,11:10,11:23,11:35,11:48,12:00,12:13,12:25,12:38,12:50,1:03,1:15,1:28,1:40,1:53,2:05,2:18,2:30,2:43,2:55,3:08,3:20,3:33,3:45,3:58,4:10,4:23,4:35,4:48,5:00,5:13,5:25,5:38,5:50,6:03,6:15,6:28,6:40,6:53,7:05,7:18,7:30,7:43,7:55,8:08,8:20,8:33,8:45,8:58,9:10,9:23,9:35,9:48,10:13,,10:38,11:03,11:53,12:43,
Southlake to Ellicott,7:15,7:40,8:05,8:17,8:30,8:42,8:55,9:07,9:20,9:32,9:45,9:57,10:10,10:22,10:35,10:47,11:00,11:12,11:25,11:37,11:50,12:02,12:15,12:27,12:40,12:52,1:05,1:17,1:30,1:42,1:55,2:07,2:20,2:32,2:45,2:57,3:10,3:22,3:35,3:47,4:00,4:12,4:25,4:37,4:50,5:02,5:15,5:27,5:40,5:52,6:05,6:17,6:30,6:42,6:55,7:07,7:20,7:32,7:45,7:57,8:10,8:22,8:35,8:47,9:00,9:12,9:25,9:37,9:50,10:15,,10:40,11:05,11:55,12:45,
Greiner Hall,7:18,7:43,8:08,8:20,8:33,8:45,8:58,9:10,9:23,9:35,9:48,10:00,10:13,10:25,10:38,10:50,11:03,11:15,11:28,11:40,11:53,12:05,12:18,12:30,12:43,12:55,1:08,1:20,1:33,1:45,1:58,2:10,2:23,2:35,2:48,3:00,3:13,3:25,3:38,3:50,4:03,4:15,4:28,4:40,4:53,5:05,5:18,5:30,5:43,5:55,6:08,6:20,6:33,6:45,6:58,7:10,7:23,7:35,7:48,8:00,8:13,8:25,8:38,8:50,9:03,9:15,9:28,9:40,9:53,10:18,,10:43,11:08,11:58,12:48,
