Creekside Village,7:30,8:20,9:10,10:00,10:50,11:40,12:30,1:20,2:10,3:00,3:50,4:40,5:30,6:20,7:10,8:00,8:50,9:40,10:30,11:20,12:10,1:00
Moody Terrace,7:35,8:25,9:15,10:05,10:55,11:45,12:35,1:25,2:15,3:05,3:55,4:45,5:35,6:25,7:15,8:05,8:55,9:45,10:35,11:25,12:15,1:05
South Lake,7:40,8:30,9:20,10:10,11:00,11:50,12:40,1:30,2:20,3:10,4:00,4:50,5:40,6:30,7:20,8:10,9:00,9:50,10:40,11:30,12:20,1:10
Alumni and Stadium,7:42,8:32,9:22,10:12,11:02,11:52,12:42,1:32,2:22,3:12,4:02,4:52,5:42,6:32,7:22,8:12,9:02,9:52,10:42,11:32,12:22,1:12
Center for the Arts,7:44,8:34,9:24,10:14,11:04,11:54,12:44,1:34,2:24,3:14,4:04,4:54,5:44,6:34,7:24,8:14,9:04,9:54,10:44,11:34,12:24,1:14
Lockwood,7:45,8:35,9:25,10:15,11:05,11:55,12:45,1:35,2:25,3:15,4:05,4:55,5:45,6:35,7:25,8:15,9:05,9:55,10:45,11:35,12:25,1:15
Founder's/O'Brien,7:50,8:40,9:30,10:20,11:10,12:00,12:50,1:40,2:30,3:20,4:10,5:00,5:50,6:40,7:30,8:20,9:10,10:00,10:50,11:40,12:30,1:20
Cooke and Hochstetter,7:51,8:41,9:31,10:21,11:11,12:01,12:51,1:41,2:31,3:21,4:11,5:01,5:51,6:41,7:31,8:21,9:11,10:01,10:51,11:41,12:31,1:21
Natural Sciences Complex,7:52,8:42,9:32,10:22,11:12,12:02,12:52,1:42,2:32,3:22,4:12,5:02,5:52,6:42,7:32,8:22,9:12,10:02,10:52,11:42,12:32,1:22
Flickinger Court,8:00,8:50,9:40,10:30,11:20,12:10,1:00,1:50,2:40,3:30,4:20,5:10,6:00,6:50,7:40,8:30,9:20,10:10,11:00,11:50,12:40,
Hadley Village,8:05,8:55,9:45,10:35,11:25,12:15,1:05,1:55,2:45,3:35,4:25,5:15,6:05,6:55,7:45,8:35,9:25,10:15,11:05,11:55,12:45,
Computing Center,8:07,8:57,9:47,10:37,11:27,12:17,1:07,1:57,2:47,3:37,4:27,5:17,6:07,6:57,7:47,8:37,9:27,10:17,11:07,11:57,12:47,
Lower Capen,8:08,8:58,9:48,10:38,11:28,12:18,1:08,1:58,2:48,3:38,4:28,5:18,6:08,6:58,7:48,8:38,9:28,10:18,11:08,11:58,12:48,
Student Union,8:10,9:00,9:50,10:40,11:30,12:20,1:10,2:00,2:50,3:40,4:30,5:20,6:10,7:00,7:50,8:40,9:30,10:20,11:10,12:00,12:50,
Lockwood,8:11,9:01,9:51,10:41,11:31,12:21,1:11,2:01,2:51,3:41,4:31,5:21,6:11,7:01,7:51,8:41,9:31,10:21,11:11,12:01,12:51,
Alumni and Stadium,8:13,9:03,9:53,10:43,11:33,12:23,1:13,2:03,2:53,3:43,4:33,5:23,6:13,7:03,7:53,8:43,9:33,10:23,11:13,12:03,12:53,
Southlake to Stadium,8:15,9:05,9:55,10:45,11:35,12:25,1:15,2:05,2:55,3:45,4:35,5:25,6:15,7:05,7:55,8:45,9:35,10:25,11:15,12:05,12:55,
Greiner Hall,8:18,9:08,9:58,10:48,11:38,12:28,1:18,2:08,2:58,3:48,4:38,5:28,6:18,7:08,7:58,8:48,9:38,10:28,11:18,12:08,12:58,
