From North Campus: Ellicott,,,,6:30,6:50,7:10,7:30,7:50,8:10,8:30,8:50,9:10,9:30,9:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,1:10,1:30,1:50,2:10,2:30,2:50,3:10,3:30,3:50,4:10,4:30,4:50,5:10,5:30,5:50,6:10,6:30,6:50,7:10,7:30,7:50,8:10,8:30,8:50,,,,,,,,,,,,,,,,,
From North Campus: Lee Loop,,,,6:36,6:56,7:16,7:36,7:56,8:16,8:36,8:56,9:16,9:36,9:56,10:16,10:36,10:56,11:16,11:36,11:56,12:16,12:36,12:56,1:16,1:36,1:56,2:16,2:36,2:56,3:16,3:36,3:56,4:16,4:36,4:56,5:16,5:36,5:56,6:16,6:36,6:56,7:16,7:36,7:56,8:16,8:36,8:56,,,,,,,,,,,,,,,,,
From North Campus: Governors,,,,6:38,6:58,7:18,7:38,7:58,8:18,8:38,8:58,9:18,9:38,9:58,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38,12:58,1:18,1:38,1:58,2:18,2:38,2:58,3:18,3:38,3:58,4:18,4:38,4:58,5:18,5:38,5:58,6:18,6:38,6:58,7:18,7:38,7:58,8:18,8:38,8:58,,,,,,,,,,,,,,,,,
From North Campus: Flint Loop,,,,6:45,7:05,7:25,7:45,8:05,8:25,8:45,9:05,9:25,9:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,1:05,1:25,1:45,2:05,2:25,2:45,3:05,3:25,3:45,4:05,4:25,4:45,5:05,5:25,5:45,6:05,6:25,6:45,7:05,7:25,7:45,8:05,8:25,8:45,9:05,9:30,,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,1:00,1:15,1:30
From North Campus: Service Center Road,,,,6:46,7:06,7:26,7:46,8:06,8:26,8:46,9:06,9:26,9:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,1:06,1:26,1:46,2:06,2:26,2:46,3:06,3:26,3:46,4:06,4:26,4:46,5:06,5:26,5:46,6:06,6:26,6:46,7:06,7:26,7:46,8:06,8:26,8:46,9:06,9:31,,10:01,10:16,10:31,10:46,11:01,11:16,11:31,11:46,12:01,12:16,12:31,12:46,1:01,1:16,1:31
From North Campus: Maynard,,,,6:54,7:14,7:34,7:54,8:14,8:34,8:54,9:14,9:34,9:54,10:14,10:34,10:54,11:14,11:34,11:54,12:14,12:34,12:54,1:14,1:34,1:54,2:14,2:34,2:54,3:14,3:34,3:54,4:14,4:34,4:54,5:14,5:34,5:54,6:14,6:34,6:54,7:14,7:34,7:54,8:14,8:34,8:54,9:14,9:38,,10:08,10:23,10:38,10:53,11:08,11:23,11:38,11:53,12:08,12:23,12:38,12:53,1:08,1:23,1:38
From North Campus: Goodyear,,,,6:57,7:17,7:37,7:57,8:17,8:37,8:57,9:17,9:37,9:57,10:17,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,1:17,1:37,1:57,2:17,2:37,2:57,3:17,3:37,3:57,4:17,4:37,4:57,5:17,5:37,5:57,6:17,6:37,6:57,7:17,7:37,7:57,8:17,8:37,8:57,9:17,9:42,,10:12,10:27,10:42,10:57,11:12,11:27,11:42,11:57,12:12,12:27,12:42,12:57,1:12,1:27,1:42
From South Campus: Main Circle,6:00,6:20,6:40,7:00,7:20,7:40,8:00,8:20,8:40,9:00,9:20,9:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,1:00,1:20,1:40,2:00,2:20,2:40,3:00,3:20,3:40,4:00,4:20,4:40,5:00,5:20,5:40,6:00,6:20,6:40,7:00,7:20,7:40,8:00,8:20,8:40,9:00,,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,1:00,1:15,1:30,1:45
From South Campus: Maynard,6:03,6:23,6:43,7:03,7:23,7:43,8:03,8:23,8:43,9:03,9:23,9:43,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,1:03,1:23,1:43,2:03,2:23,2:43,3:03,3:23,3:43,4:03,4:23,4:43,5:03,5:23,5:43,6:03,6:23,6:43,7:03,7:23,7:43,8:03,8:23,8:43,9:03,,9:48,10:03,10:18,10:33,10:48,11:03,11:18,11:33,11:48,12:03,12:18,12:33,12:48,1:03,1:18,1:33,1:48
From South Campus: Service Center Road,6:12,6:32,6:52,7:12,7:32,7:52,8:12,8:32,8:52,9:12,9:32,9:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,1:12,1:32,1:52,2:12,2:32,2:52,3:12,3:32,3:52,4:12,4:32,4:52,5:12,5:32,5:52,6:12,6:32,6:52,7:12,7:32,7:52,8:12,8:32,8:52,9:12,,9:57,10:12,10:27,10:42,10:57,11:12,11:27,11:42,11:57,12:12,12:27,12:42,12:57,1:12,1:27,1:42,1:57
From South Campus: Flint Loop,6:15,6:35,6:55,7:15,7:35,7:55,8:15,8:35,8:55,9:15,9:35,9:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,1:15,1:35,1:55,2:15,2:35,2:55,3:15,3:35,3:55,4:15,4:35,4:55,5:15,5:35,5:55,6:15,6:35,6:55,7:15,7:35,7:55,8:15,8:35,8:55,9:15,,,,,,,,,,,,,,,,,,
From South Campus: Governors,6:17,6:37,6:57,7:17,7:37,7:57,8:17,8:37,8:57,9:17,9:37,9:57,10:17,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,1:17,1:37,1:57,2:17,2:37,2:57,3:17,3:37,3:57,4:17,4:37,4:57,5:17,5:37,5:57,6:17,6:37,6:57,7:17,7:37,7:57,8:17,8:37,8:57,9:17,,,,,,,,,,,,,,,,,,
From South Campus: Arrive Lee Loop,6:20,6:40,7:00,7:20,7:40,8:00,8:20,8:40,9:00,9:20,9:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,1:00,1:20,1:40,2:00,2:20,2:40,3:00,3:20,3:40,4:00,4:20,4:40,5:00,5:20,5:40,6:00,6:20,6:40,7:00,7:20,7:40,8:00,8:20,8:40,9:00,9:20,,,,,,,,,,,,,,,,,,
